env,state_x,sample_y,num_games,num_success,pass_rate,mean_reward,std_reward,min_reward,max_reward,condition,notebook_hash,notebook_size_lines,source_notebook_hash,source_notebook_size_lines,reference_prompt_matches_template,updater_prompt_notebook_matches_state
frozen_lake,2,1,20,4,0.2,0.2,0.41039134083406165,0.0,1.0,original,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,2,20,5,0.25,0.25,0.44426165831931924,0.0,1.0,original,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,3,20,4,0.2,0.2,0.41039134083406165,0.0,1.0,original,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,4,20,1,0.05,0.05,0.22360679774997896,0.0,1.0,original,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,5,20,2,0.1,0.1,0.30779350562554625,0.0,1.0,original,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,6,20,3,0.15,0.15,0.36634754853252327,0.0,1.0,original,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,7,20,4,0.2,0.2,0.41039134083406165,0.0,1.0,original,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,8,20,4,0.2,0.2,0.41039134083406165,0.0,1.0,original,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,1,20,4,0.2,0.2,0.41039134083406165,0.0,1.0,updated,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,2,20,2,0.1,0.1,0.30779350562554625,0.0,1.0,updated,cca71f08df9c14ea6664975758a13c5cf0903f65894cc165972964304046c93c,16,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,3,20,4,0.2,0.2,0.41039134083406165,0.0,1.0,updated,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,4,20,1,0.05,0.05,0.22360679774997896,0.0,1.0,updated,b6eb6fe83c68cda42f5f744c79e71c14e595fa79832bbd0f36211096b6aec9be,14,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,5,20,2,0.1,0.1,0.30779350562554625,0.0,1.0,updated,63439537d7bfd947a04feccd5e9171909cce274ea73107d2c944635843676080,15,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
